Subject,Catalog Number,Title,Professors
SW,674,Grant Writing & Mgmt,
SW,768,Supervision in Soc Work,Judy Tudor
SW,785,Advanced Policy,Mary-Ann Overcamp-Martini
TCA,141,Trvl & Tourism I,"Joseph Lema, Barbara Richards"
TCA,210,Global Event Management,Rhonda Montgomery
TCA,301,Event Proposal Process,"Rhonda Montgomery, Hye Kim"
TESL,751,Theory & Practice for English,
ULD,752,Developing Teams,
URST,423,Ethics in Urban Studies,
WLC,198,Read Prof Fl Grad Stud,Kathleen Callahan
WMST,409J,Feminist Political Theory,Nerses Kopalyan
ACC,405,Cost Mgt and Control,Robert Cornell
ACC,774,Law for Accountants II,Donald Jones
ANTH,473,Anthropology of Violence,Debra Martin
ANTH,673R,Anthropology of Violence,Debra Martin
CEE,241,Statics,Jee Woong Park
CHEM,108,Introduction to Chemistry,Jennifer Guerra
CIG,682,Reflective Practice,", Peter Wiens"
CIG,706,Mentor Strat Imprv Teach,
CIL,604,Literacy Instr Yng Chldrn,
CIS,513A,Teaching Secondary Art,Chad Scott
CIS,553S,Tch Secondary Math,Micah Stohlmann
CIS,603,Sec Process and Instr,", Iesha Jackson"
CIT,608,Integrating Tech Tchg Lrng,Kendall Hartley
CIT,643,Designing Digital Education,
CIT,647,Online Lrng Environments,Kendall Hartley
COM,435,Quantitative Rsrch Methds,Tara Mcmanus
COM,497,Train and Dev Capst,Nick Tatum
CPE,400,Computer Comm Networks,
CRJ,404,Crime Analysis,
ECE,250,Orien Early Child,
ECE,431,Tch Com Skl Yng Chl,
ECE,454,Methods Ece II (Math/Sci),
ECE,456,Positive Discipline ECE,
ECE,740,Early Language & Learning,
ECG,600,Computer Comm Networks,
EDEL,301,Elem Curr/Found Glb Tchg,
EDEL,405,Curric & Assess Elem Ed,
EDH,609,Leading Diverse Organizations,Kenyon Whitman
EDH,610,Capstone,Doris Watson
EDH,626,Foundtns Student Affairs,
EDH,707,Design/Critique Research,Stefani Relles
EDH,730,Institutional Assessment,Federick Ngo
EDRL,402,Lit for Young Adults,
EDSC,453,Tch Secondry Math,Micah Stohlmann
EDSP,441,Char/Incl Strat W/Mod Dis,
EDSP,462,Math Meth Mild Disab,
EDW,733,Car Ed Curr Prg Dev,Xue Xing
EDW,755,Prosem Workforce Ed,Xue Xing
EDW,763,Readings- Ps Ed/Wlp/Lshp,Xue Xing
EDWF,440,Tech Uses in Workforce Ed,
EMHA,716,Hlth Care Fin Mgmt I/Hlth Acc,Donna Gellatly
EMHA,721,Advanced Healthcare Finance,Donna Gellatly
ENG,406B,Electronic Docs/Publish,Jeffrey Jablonski
ENG,407DX,Fundamentals Sci Writing,MELISSA CARRION
EOH,655,Active transport,Sheila Janofsky
EOH,701,Measurement in Inf Prev,David Woodard
EOH,713,Public Health Law,Maxim Gakh
EOH,740,Environmental Health,Lung-Wen Chen
EOH,744,Mixed Methods Research,Jennifer Pharr
EPY,708,Human Lrng & Dev,
EPY,716,Evaluation Research Meth,
EPY,722,Infer Stat Exp Dsn,Alice Corkill
EPY,723,Psychometrics I,Daniel Wright
ESP,717B,Emotional Disturbance,
FAB,330,Restaurant Sustainability,Christine Bergman
FIN,708,Adv Corp Fin,Steven Ho
FIN,710,Investment Management,
FINQ,708,Corp Fin Theory Quant App,Steven Ho
FINQ,710,Invest Theory Quant App,
GAM,339,Protection Casino Assets,Laurence Morrow
GAM,340,Gaming Device Mgt,Laurence Morrow
HCA,402,Op Mgt for HCA Orgs,"Chris Papesh, Yeunkyung Kim"
HCA,720,Info Systems in Hca,Yonsu Kim
HED,705,Theor Fnd Hlth Prom,Jason Flatt
HED,716,Qualitative Methods,Erika Marquez
HED,762,Adv App Soc Beh Theory,Manoj Sharma
HIST,260,Intro to Native Amer Hist,William Bauer
HIST,414A,US National Per 1815-1860,Elizabeth Nelson
HIST,449C,Topics in Japanese Hist,Edgar Weir
HIST,453,Women in Politics,Valerie Taylor
HIST,649C,Topics in Japanese Hist,Edgar Weir
HMD,100,Hospitality 1st Year Sem,Roberta Barnes Webb
HOA,701,The Hospitality Industry,Laura Book
HOA,734,Res Meth for Hosp,Renata Fernandes Guzzo
HOA,740,Marketing Systems,Barbara Richards
HOA,746,Contemp Marketing Hosp,Patricia Coaley
HON,112,Explo Amer Politics,Michelle Turk
JOUR,333,Intro Inter Media Design,Sam Hubbell
JOUR,380,Women and Media,Molly Sullivan
JOUR,408,Media Criticism,
KIN,458,Org Admin Ath Prog,Steve Mccauley
KIN,745,Human Energy Metabolism,Arpita Basu
KIN,750,Research Methods in KIN & NUTR,Brian Schilling
KIN,755,Research on Phys Act Behavior,Sara Rosenkranz
KIN,765,Neurophysiology of Movement,Bracher Poston
LDE,202,Leadership and Ethics,
LDE,312,Leadership & Relationships,
MATH,181,Calculus I,
MBA,785,Global Business,Orie Berezan
ME,402,Comput Methods for Engrs,Alexander Barzilov
ME,455,Fund Nuclear Engr,Alexander Barzilov
ME,602,Comput Methods for Engrs,Alexander Barzilov
ME,655,Fund Nuclear Engr,
ME,740,Adv Dynamics,Mohamed Trabia
ME,754,Intro to Nuclear Crit Safety,Charlotta Sanders
ME,760,Rad Waste Management,Charlotta Sanders
MGT,304,Lean Start-Ups,Hans Rawhouser
MGT,475,Sem Hum Resourc Mgt,Lamont Johnson
MHA,605,Fin Analysis Service Indust,Carola Raab
MHA,606,Hospitality Revenue Management,Barbara Richards
MHA,620,Prin & Prac Fdsv Mt,Joseph Lema
MHA,621,"Gaming, Govt & Comm Relations",Todd Uglow
MHA,623,Internet and Mobile Gaming,Barbara Richards
MHA,638,Database Mktg for Hosp,Xiucheng Bai
MHA,639,Casino Marketing,Paul Pippin
MHA,645,Human Dyn & Org Leadership,Barbara Richards
MKT,725,Global Consumer Behavior,Anjala Krishen
MKT,757,Strat Database Market,John Schibrowsky
MUS,650,Ed Measurement in Music,Eugenie Burkett
NURS,505,Found Pat Cent Care,
NURS,520,Patho Pharm Nurs,
NURS,701,Diag Reas & Clin Decision FNP,
NURS,703,Advanced Health Assessment,
NURS,704,Adv Patho and Genetics I,
NURS,706,Nursing Theory and Research,
NURS,708,Analysis & Econ Health Systems,
NURS,709,Teach & Learn in Nursing Ed,
NURS,716,Population Health,
NURS,729R,Evidence for Healthcare,
NURS,737,Leadership in Organizations,
NURS,738,Financial Theory & Management,
NURS,749,"Research, Scholar Seminar",
NURS,752,NP Business and Roles,
NURS,760R,FNP Geriatric and Chronic Ill,
NURS,761,Clinical Synthesis,
NURS,770,Knowledge Dvlpmnt Nur,
NURS,775,Stat Methods Nurs I,
NURS,780,Quant Methods in Nursing,
NURS,781,Qual Research Meth,
NURS,798,Indepe Study in Nur,
NURS,799,PMHNP III,
NUTR,223,Principles of Nutrition,Dawn Matusz
NUTR,271,Intro to Nutr/Dietetics,Samantha Coogan
NUTR,315,Field Ex in Nutr,Leah Hanson
NUTR,370,Nutrition Life Cycle,Leah Hanson
NUTR,405,Advanced Sports Nutrition,Laura Kruskall
NUTR,426,Med Nutr Therapy I,Laura Kruskall
NUTR,451,Nutrition and Metabolism,Arpita Basu
NUTR,470,Community Nutrition,Dawn Matusz
NUTR,605,Advanced Sports Nutrition,Laura Kruskall
NUTR,626,Medical Nutrition Therapy 1,Laura Kruskall
NUTR,651,Nutrition and Metabolism,Arpita Basu
NUTR,652,Adv Nutr,Sara Rosenkranz
NUTR,700,Sp Tpcs Nutr Sci,Sara Rosenkranz
NUTR,720,Life Mod Chronic Disease,Richard Rosenkranz
NUTR,753,Exptl. Tech. Nutr. Metab.,Sara Rosenkranz
PAF,704,Public Affairs as a Profession,Jayce Farmer
PBH,275,Injury Prevention and Control,William Webber
PBH,300,Public Hlth Pre-Capstone,Sheila Janofsky
PBH,455,Active transport,Sheila Janofsky
PED,428,Methods Teaching Sports,Chia-Liang Dai
PHIL,622,Advanced Logic,David Beisecker
PHYS,195,Engineering Physics A,Timothy Porter
PSC,401J,Women in Politics,Valerie Taylor
PSC,403O,US Public Policy,Elizabeth Maltby
PSC,405D,US foreign Policy,Tiffiany Howard
PSC,405V,Intl & US Immigration Pol,Tiffiany Howard
PSY,412,Motivation and Emotion,Lianne Barnes
PSY,438,Child Behavior Disorders,Mirae Fornander
SOC,629,Globalization,Robert Parker
SW,701,Social Welfare Policy I,Mary-Ann Overcamp-Martini
SW,716,Swk Research I,An-Pyng Sun
SW,720,Fdn Prac I,Anne Abruscato
SW,740,Dir Prac I,Anne Abruscato
SW,747,Dsm:Assess & Diagnosis,Anne Abruscato
SW,760,Mcp I,Mary-Ann Overcamp-Martini
TCA,345,The National Parks,Barbara Richards
ULD,731,Urban Development,
ULD,737,Fm Analytics to Action: Data,
ULD,750,Urban Leadership,
URST,400,Public Orgs Urban Setting,
URST,410,Envir Pol Urban Setting,
URST,427,Data Vis for Urb Studies,
URST,496,Topics Urban Studies,
WMST,401J,Women in Politics,Valerie Taylor
HIST,449A,Hist of Japan to 1800,Edgar Weir
HIST,649A,Hist of Japan to 1800,Edgar Weir
HON,102,Hon Critical Think,Jesse Fitts
HON,420,Special Topics Seminars,Heather Lusty
